Map 1 (random n=10),,,
Random Generation,Modified Dijkstra's,Random Swapping,2-opt swapping
5891573.876,5891573.876,5891573.876,5891573.876
5891573.876,5891573.876,5891573.876,5891573.876
5891573.876,5891573.876,5891573.876,5891573.876
5891573.876,5891573.876,5891573.876,5891573.876
5891573.876,5891573.876,5891573.876,5891573.876
6131798.7,5891573.876,5891573.876,5891573.876
,,,
,,,
,,,
Map 2 (random n=1000),,,
Random Generation,Modified Dijkstra's,Random Swapping,2-opt swapping
992924716.9,375916823.6,225977937.9,72516889.45
987691105,372737685.5,229849151.6,69427895.87
995151465.5,369072515.4,221449499.6,68808723.25
989088278.2,371810727.2,232695937.3,69720673.41
989255767.2,373373480,233207053.9,70331677.81
991826128.7,373281345.9,207510610.3,69670533.67
,,,
,,,
,,,
Map 3 (random n=10000),,,
Random Generation,Modified Dijkstra's,Random Swapping,2-opt swapping
10323119546,3240428284,3793530293,3152792905
10279776945,3233877905,3776841645,2937278015
10298645329,3234864733,3822141990,3095200214
10298914814,3234688577,3842225040,3020962352
10285436723,3228157454,3828077792,2984305232
10300080362,3232665916,3807533962,3049464688
,,,
,,,
,,,
Map 4 (Swedish cities n=1916),,,
Random Generation,Modified Dijkstra's,Random Swapping,2-opt swapping
79693630.34,27564839.82,20262321.82,6084857.948
79693630.34,27473123.85,19561130.69,6204447.677
79693630.34,27566245.04,19480924.3,5934914.712
79693630.34,27734229.92,19246108.98,5871981.884
79693630.34,27636185.38,20044024.37,5924928.645
79693630.34,27755956.26,19643845.39,6129804.537
,,,
,,,
,,,
Map 5 (USA states n=49),,,
Random Generation,Modified Dijkstra's,Random Swapping,2-opt swapping
63470.66185,32761.02342,23363.90715,18288.09154
63890.85113,31608.6966,23739.19883,18205.1266
64490.2589,31536.60587,21482.12635,18234.21287
62379.14452,31131.14313,22779.03298,18311.86805
66385.01545,31806.5271,23763.20389,18311.86805
60399.75765,31211.23317,20760.25464,18300.61299
,,,
,,,
,,,
Map 6 (Strict increase n=10000),,,
Random Generation,Modified Dijkstra's,Random Swapping,2-opt swapping
9291380109,1349024996,2373586959,1814447149
9310437819,1348572833,2280159165,1455553611
9297883462,1357296776,2344747004,1601361008
9302381835,1353080817,2306799937,1599620455
9286799450,1350374546,2325432171,1593378825
9329019143,1348033186,2361945269,1646813150
,,,
,,,
,,,
Map 7 (Circle n=10000),,,
Random Generation,Modified Dijkstra's,Random Swapping,2-opt swapping
12567650338,2248980912,3908157889,2537013830
12573745599,2217757665,3952339027,2431780351
12600808851,2244295348,3929417131,2620719310
12577611347,2237577332,3851583858,2445124971
12549889305,2238673128,3951409612,2557729463
12551595182,2245565916,3884563307,2602087504
,,,
,,,
,,,
Map 8 (Grid n=10000),,,
Random Generation,Modified Dijkstra's,Random Swapping,2-opt swapping
516272.1618,162933.9379,189487.4362,146595.3781
515198.6725,162480.318,185568.5141,148485.5344
515030.9863,162150.3042,186938.2779,148197.8332
516285.3527,162161.47,186978.8585,148080.8074
513969.2742,161665.9353,184770.9426,142505.3975
514867.3062,162288.9124,186445.5991,148529.9744
,,,
,,,
,,,
Map 9 (Straight line n=10000),,,
Random Generation,Modified Dijkstra's,Random Swapping,2-opt swapping
6553370088,949184378,1656974798,896028426
6565113386,946308942,1643517954,903780140
6506833168,961167540,1620169650,808419124
6545958006,945003364,1668749822,787330814
6535809660,956124694,1613793366,806036378
6562710126,951048114,1582440390,779322396
,,,
,,,
,,,
Map 10 (Strict increase n=100),,,
Random Generation,Modified Dijkstra's,Random Swapping,2-opt swapping
67609575.19,20823427.49,11069509.51,5815136.523
69664811.6,20805907.35,11533087.55,5810589.705
67715528.88,20874288.9,10755444.78,5804089.746
68228851.14,21454217.01,12453953,5792401.336
68862987.39,19999070.68,12382933.57,5812265.15
70379810.37,21192230.7,10883480.63,5800222.75
